step T[K] H[J/g] Nco2[mmol/g] Nch4[mmol/g]
stepI 322.7246846166252 51.60993202663672 0.5315045311419077 2.283787330147267
stepII 353.1752461565068 75.48537249093258 2.977043798394703 0
stepIII 292.05620094282637 27.764915181160347 1.1618529072248476 0
stepIV 263.15 6.065203681526699 0 0.3745260088738253

effective amount adsorbed of CO2 [mmol/g]: 0.5315045311419077
working capacity [mmol/g]: -0.6303483760829399
selectivity [-]: 5.348885017966906
regenerability [%]: -118.5969900818478

T[K] NcI[mmol/g] NmI[mmol/g] NtI[mmol/g] NcII[mmol/g] NcIII[mmol/g] NcIV[mmol/g] NmIV[mmol/g] HI[J/g] HII[J/g] HIII[J/g] HIV[J/g] intCp[J/g]
270 2.576542810076014 5.048568971445332 7.625111781521346 12.599828288636388 2.7940772400573572 0.0 0.3118570934631318 150.44418679298454 311.0367861221618 69.0603450611226 5.0444409557411545 11.088628371183354
271 2.5075178869390635 4.9991517993608765 7.50666968629994 12.528100010385524 2.674625143624055 0.0 0.3038638073559281 147.84429675264698 309.86681379260096 65.97836390472499 4.914401544805395 11.828889890858107
272 2.4394815611932117 4.948277257578349 7.387758818771561 12.45462464856435 2.560853794750783 0.0 0.2961307660689373 145.24585266745652 308.64963705791547 63.0493970640227 4.788630230762643 12.570839358088861
273 2.3724713917375753 4.896028244787259 7.268499636524835 12.379364025530311 2.4525927666251 0.0 0.28864790971307147 142.65112839145348 307.38364871178493 60.26863940582635 4.666960241821356 13.314451885779611
274 2.3065245286436493 4.842492183642816 7.149016712286465 12.302279473470431 2.3496474645429766 0.0 0.2814056238331162 140.06246570998468 306.0672081438434 57.63060592092753 4.549232291905191 14.059702016090363
275 2.2416773534906342 4.787760562395665 7.029437915886299 12.223331875429318 2.2518064396271917 0.0 0.27439471740011256 137.48225823130772 304.6986425050123 55.12934659464955 4.435294204711437 14.806563712985117
276 2.17796511574023 4.731928408425813 6.909893524166043 12.142481717439836 2.1588480213251438 0.0 0.2676064019855268 134.91293393125713 303.2762481885318 52.758628072953485 4.32500055833735 15.555010354779867
277 2.1154215701949832 4.675093705714521 6.790515275909504 12.059689153382042 2.070544882990967 0.0 0.26103227205073126 132.35693668380833 301.79829267870474 50.512080956143855 4.21821234929312 16.305014726690615
278 2.054078625013297 4.61735676511427 6.6714353901275665 11.97491408474471 1.9866688030657764 0.0 0.2546642862889637 129.81670715063498 300.26301685460385 48.38332158676207 4.114796670223774 17.056549013381364
279 1.9939660072055012 4.558819559874363 6.552785567079864 11.888116263181029 1.9069937749289725 0.0 0.24849474883610528 127.29466342336369 298.6686377310206 46.36604671133416 4.0146264201218065 17.809584791512115
280 1.9351109530245427 4.499585039323733 6.434695992348276 11.799255387569795 1.8312985394021808 0.0 0.24251629742926864 124.79318181935064 297.01335177614584 44.45410308810871 3.917580022667015 18.56409302228687
281 1.8775379296130166 4.439756434104852 6.317294363717869 11.708291268340508 1.7593684535837018 0.0 0.23672187955905735 122.31457822668682 295.29533906229165 42.64153886453181 3.8235411358856934 19.32004404400162
282 1.8212683938555678 4.379436566172155 6.200704960027722 11.615183988309242 1.6909967695196313 0.0 0.23110474331559075 119.86109036397511 293.5127681409907 40.922639875182846 3.7323984060961717 20.07740756459237
283 1.7663205915016995 4.318727176162674 6.085047767664373 11.51989409450456 1.6259856736627143 0.0 0.22565842155361532 117.43486129514146 291.66380171738797 39.29195296843881 3.644045237603452 20.836152654183124
284 1.7127094025468186 4.257728280664928 5.970437683211746 11.42238282938208 1.5641465702033257 0.0 0.22037671841426398 115.0379244943216 289.7466034240877 37.74429793462908 3.55837955800045 21.596247737633874
285 1.660446231887608 4.196537567788911 5.856983799676519 11.32261240210668 1.505300475179651 0.0 0.21525369654854423 112.67219067798828 287.75934581439935 36.27477303372769 3.4753036020946335 22.357660587088624
286 1.6095389462610934 4.135249842724554 5.744788788985647 11.220546300995814 1.4492780483443513 0.0 0.21028366500307613 110.33943658504234 285.7002196915161 34.87875436773333 3.3947237072240193 23.120358314523372
287 1.559991858845435 4.073956527791917 5.633948386637352 11.116149653561129 1.3959193410600343 0.0 0.2054611677311614 108.04129583020848 283.56744494141157 33.55189043132066 3.3165501193139892 23.884307364294123
288 1.511805757485598 4.012745223666311 5.52455098115191 11.009389638910335 1.3450737565124573 0.0 0.20078097269432646 105.77925187576295 281.3592830651901 32.290094615057015 3.2406968090658004 24.649473505684874
289 1.4649779747117453 3.9516993347859106 5.416677309497656 10.900235959350134 1.296599571882622 0.0 0.1962380615216326 103.55463312653625 279.07405156094865 31.089534922538178 3.1670812977037053 25.415821825455623
290 1.419502497032799 3.8908977604272716 5.310400257460071 10.788661365368885 1.250363689968865 0.0 0.1918276196957516 101.36861006838978 276.7101403485223 29.946621904354547 3.095624495694673 26.183316720390373
291 1.375370100887251 3.830414653589343 5.205784754476594 10.674642259147467 1.2062410819770437 0.0 0.18754502821316898 99.22219440300425 274.26603045649074 28.857995722567335 3.0262505393071923 26.951921889845124
292 1.3325685353652403 3.770319240722565 5.1028877760878055 10.55815935657488 1.1641144676009019 0.0 0.1833858511265756 97.11624005714609 271.7403150745176 27.8205134756674 2.9588866369036992 27.721600328295878
293 1.291082705428348 3.7106757118122866 5.001758417240635 10.439198424869993 1.1238738548581308 0.0 0.17934583214951183 95.05144576950538 269.1317231082122 26.83123657547605 2.893462941267456 28.49231431788663
294 1.2508948945181393 3.6515431475670272 4.9024380420851665 10.317751091395085 1.0854161112132228 0.0 0.17542088359114347 93.02835923431043 266.43914535611657 25.887417848550577 2.8299124138507015 29.264025420977383
295 1.211984985345609 3.5929755490455175 4.804960534391126 10.193815723169124 1.0486445442133743 0.0 0.17160707948706266 91.04738262401612 263.661663323757 24.98648918703671 2.7681706909099533 30.03669447269214
296 1.1743307068073299 3.535021853244245 4.709352560051575 10.067398373278003 1.0134684961103808 0.0 0.16790064839172578 89.1087790793762 260.7985806366316 24.126049689673728 2.708175965804366 30.810281573466888
297 1.1379078676538954 3.477726042562562 4.615633910216458 9.938513787214836 0.979802955489355 0.0 0.16429796656941095 87.2126801548371 257.8494569120878 23.303854366626684 2.649868876311366 31.584746081597636
298 1.1026906114571984 3.421127268973304 4.523817880430502 9.807186458376998 0.9475681877726734 0.0 0.1607955518967334 85.35909401464862 254.81414382871907 22.51780345054703 2.5931923881854244 32.36004660578839
299 1.068651645489162 3.365260021324546 4.4339116668137075 9.673451717503568 0.916689385622379 0.0 0.15739005494913852 83.54791405630843 251.69282298646897 21.765932332915426 2.5380917133389596 33.13614099769914
300 1.0357624822547047 3.3101543142367422 4.345916796491447 9.537356835815222 0.8870963396217411 0.0 0.15407826350689036 81.77892791045728 248.48604498199975 21.046402126472316 2.4845141708969867 33.9132673444937
301 1.0039936637923925 3.2558359013856077 4.259829565178 9.398962116144302 0.8587231289615067 0.0 0.15085706885681238 80.05182662949761 245.19476893518936 20.35749084902586 2.4324090932593947 34.69098869105357
302 0.9733149764473824 3.202326505050674 4.175641481498056 9.258341940627266 0.8315078330181465 0.0 0.14772350615447724 78.36621387787227 241.82040149986548 19.69758520066809 2.3817278238675015 35.46863414624152
303 0.9436956531040864 3.149644057207842 4.093339710311929 9.115585737884373 0.8053922592598689 0.0 0.1446747075077259 76.72161502910754 238.36483418443336 19.0651729090209 2.3324235595377276 36.246251302232274
304 0.9151045609516022 3.0978029484565752 4.012907509408177 8.970798827444318 0.7803216930659461 0.0 0.14170791707049318 75.11748605076549 234.8304776090143 18.458835631453965 2.284451246272452 37.02388150540383
305 0.8875103744677959 3.046814279890149 3.934324654357945 8.824103094999344 0.7562446625278788 0.0 0.13882048257003365 73.5532220869091 231.22029115192603 17.877242368040115 2.2377675518459794 37.8015603139911
306 0.8608817332644627 2.99668611488061 3.857567848145073 8.675637449487748 0.7331127203185115 0.0 0.13600985091402143 72.02816566505982 227.53780630984983 17.319143350531544 2.192330777093013 38.57931794351753
307 0.8351873839475391 2.9474237277094195 3.7826111116569585 8.525558012628407 0.7108802410017347 0.0 0.13327356400443371 70.54161446810637 223.78714203493925 16.783364386640965 2.148100786293007 39.35717970000268
308 0.8103963068304638 2.8990298463179793 3.709426153148443 8.374037993980721 0.6895042327987579 0.0 0.13060925474748197 69.09282863069173 219.97301034062275 16.26880163091383 2.10503894085574 40.13516640094502
309 0.7864778276207418 2.851504887131773 3.637982714752515 8.221267210377771 0.6689441638471122 0.0 0.12801464324963874 67.68103753045727 216.1007106055984 15.774416729164694 2.0631080361365073 40.91329478408431
310 0.7634017141182445 2.8048471804340247 3.5682488945522692 8.067451217985457 0.6491617961654413 0.0 0.1254875331901831 66.30544606149628 212.1761112664336 15.299232329603988 2.022272241218748 41.691577903938246
311 0.7411382605709539 2.759053184507278 3.500191445078232 7.912810038287954 0.6301210407315668 0.0 0.12302580836131827 64.96524038385951 208.20561797808287 14.842327944574038 1.9824970415108505 42.470025516116486
312 0.7196583573272519 2.714117688049508 3.43377604537676 7.757576475630801 0.6117878119226198 0.0 0.1206274293673389 63.65959315354532 204.19612783127738 14.402836139181964 1.943749184012711 43.24864444941198
313 0.6989335498425493 2.670034001812276 3.3689675516548254 7.601994042794495 0.5941299083442523 0.0 0.1182904304748907 62.38766824600484 200.15496982484024 13.979938985255886 1.9059966251158356 44.02743896566664
314 0.6789360863772166 2.626794133907642 3.305730220284859 7.44631453123982 0.5771168782692678 0.0 0.11601291660671369 61.148624983327 196.08983246400877 13.5728647230823 1.8692084808079448 44.80641110741572
315 0.6596389554016661 2.584388955988586 3.244027911390252 7.290795282660197 0.5607199172947165 0.0 0.11379306047165354 59.94162189911767 192.0086800449535 13.180884732114837 1.833354979160146 45.58556103330829
316 0.6410159143280936 2.5428083549764353 3.183824269304529 7.135696236596585 0.544911762329572 0.0 0.111629099824236 58.76582006492203 187.91965983489442 12.803310741827316 1.7984074149819118 46.364887341304375
317 0.6230415098826291 2.5020413728258437 3.125082882708473 6.981276843436904 0.5296665952208024 0.0 0.10951933484735937 57.62038599879821 183.83100290861384 12.439492207169401 1.7643381065351793 47.144387379649395
318 0.6056910914787612 2.462076334298216 3.067767425776977 6.827792941677954 0.5149599531795218 0.0 0.10746212565203654 56.5044941912287 179.75092180318416 12.088813888281178 1.7311203542044533 47.92405754562315
319 0.5889408181197373 2.4229009633337775 3.0118417814535148 6.67549370185636 0.5007686454906406 0.0 0.10545588988839578 55.41732927731137 175.6875083633124 11.750693605800977 1.6987284010258448 48.70389357206681
320 0.5727676599404748 2.384502488527103 2.957270148467578 6.524618736626617 0.48707067602768134 0.0 0.10349910046263233 54.358087885366714 171.6486351481109 11.424580157954551 1.6671373949832642 49.483890801686975
